,accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted
baseline_model,0.6109979633401222,0.6171081420894353,0.6116512928228871,0.6126729124578053,0.6172921653965554,0.6109979633401222,0.6123931940049204
improved_model,0.7831325301204819,0.7879186140108856,0.7847530852470882,0.7848577133119905,0.7877871608670491,0.7831325301204819,0.783951870261314
experimental_model,0.5536912751677853,0.5476215389976028,0.5441572738788274,0.5444106783231675,0.5516567120267671,0.5536912751677853,0.5512669284162999
