,Class 0,Class 1,Class 2,Class 3,Class 4,Class 5
baseline_model,0.6329113924050633,0.5747126436781609,0.6944444444444444,0.6410256410256411,0.5102040816326531,0.6493506493506493
improved_model,0.7471264367816092,0.8227848101265823,0.8024691358024691,0.8227848101265823,0.6770833333333334,0.8552631578947368
experimental_model,0.5882352941176471,0.5633802816901409,0.5882352941176471,0.5128205128205128,0.5785123966942148,0.45454545454545453
