,Class 0,Class 1,Class 2,Class 3,Class 4,Class 5
baseline_model,0.6172839506172839,0.5882352941176471,0.6329113924050633,0.6410256410256411,0.5555555555555556,0.6410256410256411
improved_model,0.7784431137724551,0.8024691358024691,0.7558139534883721,0.8074534161490683,0.7262569832402235,0.8387096774193549
experimental_model,0.611353711790393,0.5228758169934641,0.6140350877192983,0.4678362573099415,0.5932203389830508,0.45714285714285713
